نام محصول,لینک محصول,دسته محصول,متن کامنت,تعداد لایک,خریدار,تاریخ ثبت,احساس نظر,اطمینان احساس,دسته‌بندی‌ها,دسته اصلی,مشکلات,مشکل‌دار,شدت مشکل,قصد ترک,نشانه‌های ترک
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,والا من خیلی راضی ام، کاملا سبک، بی رنک اصلا ذره ای چربی نداره,0,true,2024-05-01T02:23:04+00:00,مثبت,0.79,رضایت کلی,رضایت کلی,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,"بژ تیره و بدون رنگ رو دارم 
هرچی بگم کم گفتم عالیع",0,true,2024-04-30T09:37:38+00:00,مثبت,0.67,رنگ و شید,رنگ و شید,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,اولین محصول ازش راضی بودم بخاطر همین تموم نشده دومی سفارش دادم.اصلا بیرنگ نیست، مات که هیچ کاملا براقه،کمی چربه و برای من فید کردنش زمان بره.پروتکت نداره و از تغییر رنگ بر اثر آفتاب جلوگیری نمیکنه. هرچی از زمان استفادش میگذره براقتر میشه. شاید برای پوست نسبتا چرب وهوای گرم مناسب نیست. ,0,true,2024-04-24T19:52:15+00:00,مثبت,0.67,تجربه محصول | رنگ و شید,رنگ و شید,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,من برای بار دوم شارژ کردم سبک و ماته قیمتشم که خوبه ,0,true,2024-04-22T23:50:57+00:00,مثبت,0.67,موجودی کالا,موجودی کالا,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,لطفا روی بی رنگش هم تخفیف بزنید خریدمو تکمیل کنم,0,true,2024-04-18T15:19:17+00:00,خنثی,0.35,تخفیف | تجربه محصول,تخفیف,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,من با توجه،به نظر دوستان خریدم.کسانی که میگن،چرب نیست وماتِ،پس ضدآفتاب لافارر،رو امتحان نکردن،این ضدآفتاب،معمولیه،و اصلا به سبکی و مات بودن و کیفیت لافاررنمیرسه.بافتش که اصلا،ژل نیست.کمی سنگین و،نسبتا چرب هست,0,true,2024-04-18T13:05:04+00:00,خنثی,0.35,کیفیت محصول | بافت محصول | تجربه محصول | نارضایتی کلی,کیفیت محصول,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,پوستم مختلطه و خیلی راضیم ازش. سه چهار بار تمدیدش کردم. اولش یکم برق میندازه اما بعد یکی دو دقیقه مات میشه. سبکه و نمی ماسه. فقط قیمتش روز به روز داره بالا میره.,0,true,2024-04-18T00:15:22+00:00,مثبت,0.79,رضایت کلی,رضایت کلی,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,"من پوست چرب و مستعد جوش دارم 
این تنها ضد افتابی بود که پوستم رو برق نمیندازه و باعث جوش نشده و واقعا راضیم ازش",0,true,2024-04-12T15:24:33+00:00,مثبت,0.79,حساسیت و واکنش پوست/مو | رضایت کلی,حساسیت و واکنش پوست/مو,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,روی پوست چربی میندازه و رد سفیدی نداره واسه پوست چرب مناسب نیست,0,true,2024-04-08T10:26:03+00:00,خنثی,0.35,تجربه محصول,تجربه محصول,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,این کرم واقعا عالیه .سریع جذب میشه و به هیچ عنوان پوست رو چرب نمیکنه.من که عاشقش شدم,0,true,2024-04-03T01:14:41+00:00,مثبت,0.79,رضایت کلی,رضایت کلی,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,"چقدر زود تخفیف این برند رو کم کردید 
لطفا مجدد اعمال تخفیف 50درصد بزنید ",0,true,2024-03-21T20:09:14+00:00,خنثی,0.35,تخفیف,تخفیف,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,من خیلی وقته از این محصول استفاده میکنم واسم عجیب بود نظرات که میگن پوست رو چرب میکنه نه ردی میندازه نه چرب میکنه خیلی خوب جذب میشه,0,true,2024-03-07T12:11:03+00:00,مثبت,0.79,تجربه محصول | رضایت کلی,تجربه محصول,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,پوست من به شدت با کوچکترین چربی کرمی جوش میزنه یا حساس میشه ، این ضد افتاب رو دکتر برام نوشت به جرعت اولین ضد افتابی بود که تمام آیتم های یه محصول عالی رو داره برابری میکنه با ضد افتاب ایزیدین و کلینیک من انقدر دوسش داشتم دوهفته ای تمومش کردم پوستم روشن کرده و اصلا سنگینی و چربی  نداره به شدت برای پوست های مستعد جوش و چرب توصییه میشه,0,true,2024-03-06T09:44:23+00:00,مثبت,0.67,حساسیت و واکنش پوست/مو | بافت محصول | تجربه محصول | رضایت کلی,حساسیت و واکنش پوست/مو,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,لطفا تخفیف بیشتر بزارین ,0,true,2024-02-24T15:52:23+00:00,خنثی,0.35,تخفیف,تخفیف,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,بافتش سبکه ولی اینکه پوست رو برق میندازه برای من خیلی آزاردهنده ست چون پوست چرب خودش برق میفته دیگه اینم تشدیدش میکنه و جالب نیست و دوسش نداشتم. با آبرسان ساین اسکین هم همین مشکل رو داشتم حس چربی میداد به پوست,0,true,2024-02-18T15:41:32+00:00,خنثی,0.35,بافت محصول,بافت محصول,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,بد نبود اما صورت رو برق مینداخت,0,true,2024-02-17T11:20:58+00:00,مثبت,0.67,نارضایتی کلی,نارضایتی کلی,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,قابل قبوله، واسه استفاده روزانه خوبه، من پوستم چربه، این ضد افتاب خوبی بود.,0,true,2024-02-12T00:58:24+00:00,مثبت,0.67,رضایت کلی,رضایت کلی,,false,ندارد,false,
ژل کرم ضد آفتاب مدل SPF50 Oil Free مناسب پوست چرب,https://www.khanoumi.com/products/syn-skin-syn-shield-oil-free-sun-screen-cream-gel-spf50-28026,ضدآفتاب,من واقعا از این ضد آفتاب بیشتر از هر ضد آفتاب دیگه ای که استفاده کردم راضیم خیلی سبکه و زود جذب میشه بدون باقی گذاشتن لک سفید. در ضمن با اینکه پوست من چرب و مستعد آکنه است ولی جوشامو تشدید نکرد.,0,true,2024-02-02T18:37:48+00:00,مثبت,0.79,ترکیبات | تجربه محصول | رضایت کلی,ترکیبات,,false,ندارد,false,
